ds,yhat,yhat_lower,yhat_upper
2023-01-01,116.27902421009733,82.44214429413653,152.84245874153814
2023-01-02,104.17189853542911,72.53120776897427,139.86664927808437
2023-01-03,82.29550858414288,48.952725863409555,116.75844392298968
2023-01-04,121.5728857196001,87.1419521302006,154.43092835496796
2023-01-05,114.00419001668985,78.80746730457487,149.789934615921
2023-01-06,98.58937204033543,68.61454540132011,133.4268980167884
2023-01-07,103.93316809390474,70.63399274841763,137.54220016138615
2023-01-08,123.53347018463363,90.54150640700001,157.6181480023551
2023-01-09,111.42634451032093,76.90100695681652,146.7264557567239
2023-01-10,89.54995455944268,56.91044443625285,121.01337842537806
2023-01-11,128.82733169428286,93.6700358943816,162.7848304598499
2023-01-12,121.25863598994077,86.01470968321613,156.08556056803118
2023-01-13,105.84381801208299,72.84154439772396,139.2182500310242
2023-01-14,111.18761406410994,76.94122549266696,147.41651021406688
2023-01-15,130.78791615393598,96.65514475985366,163.70207911096477
2023-01-16,118.68079047934351,83.60674558400613,152.47366630789674
2023-01-17,96.80440052805233,62.32332501262679,127.3873322152431
2023-01-18,136.08177766346816,100.60660158427038,169.95340158061038
2023-01-19,128.51308196076369,94.56879519934309,163.29021282653142
2023-01-20,113.09826398457925,81.87902434844949,148.15154924418292
2023-01-21,118.44206003836169,85.88889712819422,155.39597387272337
2023-01-22,138.042362129977,104.69876400686125,172.81188615504658
2023-01-23,125.93523645673936,90.82443016550484,159.8159323585928
2023-01-24,104.05884650677699,73.15355915331547,138.4676560993661
2023-01-25,143.33622364334624,109.03604674157248,176.27153325462663
2023-01-26,135.7675279406491,102.03383132632825,168.31231720970717
2023-01-27,120.35270996459508,85.9899872518686,153.83156831919692
2023-01-28,125.69650601735945,90.07665055835277,161.76408708383775
2023-01-29,145.29680810806207,111.64456808419305,179.5513589180938
2023-01-30,133.1896824342404,97.30330906224285,165.73424807605002
2023-01-31,111.31329248378407,80.13120528458433,144.83388140548325
2023-02-01,150.59066961989055,114.27577611432879,186.1158779281047
2023-02-02,143.02197391639493,109.78988089911012,180.31585164995656
2023-02-03,127.60715593941599,93.89913890888299,162.22526958244057
2023-02-04,132.95095199229274,101.14200048660823,166.23112797722754
2023-02-05,152.55125408306208,119.1467878067522,187.42847089621404
2023-02-06,140.4441284088182,104.12713695188965,176.34797216482175
2023-02-07,118.5677384579753,83.31599353385032,150.56042645068607
2023-02-08,157.84511559367212,124.57399101315653,192.5241878906773
2023-02-09,150.27641989018906,117.51373719644252,182.86029702294147
2023-02-10,134.8616019132841,103.33482159763963,168.6806037419016
2023-02-11,140.20539796672065,105.26115306624637,173.7327302350726
2023-02-12,159.80570005795562,125.89124220106186,195.08148539390203
2023-02-13,147.69857438417367,112.38521936909194,181.6531139474183
2023-02-14,125.82218443427897,92.40120903634038,158.7025414041861
2023-02-15,165.09956157106083,129.74176132997732,199.75282448343444
2023-02-16,157.53086586968726,123.06607451357335,194.97633590118286
2023-02-17,142.11604789495314,110.8198166850252,177.46471853839205
2023-02-18,147.4598439500016,111.65075803565028,182.23303269218755
2023-02-19,167.06014604310735,133.27615655582957,201.69712113879265
2023-02-20,154.95302037109732,120.46491122604588,187.51030798806772
2023-02-21,133.07663042256127,96.88562040125954,169.08590362221227
2023-02-22,172.35400756182386,137.9275077506609,207.930038742574
2023-02-23,164.7853118618703,129.07244901660815,199.9143003948947
2023-02-24,149.37049388847092,117.88967599432793,183.9969579401237
2023-02-25,154.71428994564,117.74243133364568,188.83035117964877
2023-02-26,174.31459204048932,140.26776604407294,209.3604434431399
2023-02-27,162.20746637035805,128.77392433140366,198.60303648967027
2023-02-28,140.33107642449215,104.68616541647964,173.06521889299395
2023-03-01,179.60845356533122,145.09711692643612,215.1313578742751
2023-03-02,172.03975786683145,138.98383305641508,208.8500001551312
2023-03-03,156.62493989417706,120.9187599804548,190.68791053462385
2023-03-04,161.96873595136347,127.31985730230237,195.17968861783004
2023-03-05,181.5690380471087,148.7955771833306,216.58691402502507
2023-03-06,169.4619123778939,134.10215169233837,207.8462505802124
2023-03-07,147.58552243199628,114.61626949901556,184.25994864776186
2023-03-08,186.86289957426206,151.62687566196195,218.47204098431587
2023-03-09,179.29420387719838,145.68379170608625,211.50588172770003
2023-03-10,163.87938590672383,128.49168023684638,196.3379535138693
2023-03-11,169.22318196567466,135.56198738141066,201.57164765684254
2023-03-12,188.82348406252362,154.24748396416004,222.68317475439096
2023-03-13,176.71635839425045,144.40191954064906,209.59692887763262
2023-03-14,154.83996844864444,121.4957231603685,187.2883253145081
2023-03-15,194.11734558981854,160.51811609370333,226.9283722449657
2023-03-16,186.5486498915884,151.59257386383004,221.38590832618368
2023-03-17,171.1338319200186,138.19003131191565,204.1115682719184
2023-03-18,176.47762797825573,143.89378540619745,209.63020735531993
2023-03-19,196.0779300743492,159.38252550219255,227.57226152470253
2023-03-20,183.97080440542973,147.6800315084249,216.91749227423065
2023-03-21,162.09441445981014,127.92475027175179,196.05174211489094
2023-03-22,201.37179160089212,166.7088039662722,235.09105243490185
2023-03-23,193.80309590271474,158.98451279175165,228.67220110202445
2023-03-24,178.38827793119805,146.50242905506212,210.30795696597525
2023-03-25,183.73207398944646,149.71128200770994,217.58503519452742
2023-03-26,203.33237608554418,169.601914700683,237.2864911727991
2023-03-27,191.22525041666253,156.57483334992162,225.79721291919597
2023-03-28,169.3488604709758,131.57570307283254,202.99281879639565
2023-03-29,208.62623761207547,176.98956718936753,240.33664957281854
2023-03-30,201.05754191397443,167.87290154835395,235.19477575488264
2023-03-31,185.64272394229945,153.2719191198507,222.26658339965994
2023-04-01,190.98652000063726,156.1333520738868,227.55697548023602
2023-04-02,210.58682209669163,175.5502887387461,244.90738656421595
2023-04-03,198.47969642780888,164.89829830424884,232.93688992818352
2023-04-04,176.60330648215702,144.04524219693073,209.56446132487616
2023-04-05,215.8806836232539,182.42995405789637,251.1230908065987
2023-04-06,208.31198792510074,173.22186884978768,242.73337253326721
2023-04-07,192.89716995354058,160.33145185794285,227.3874560785847
2023-04-08,198.24096601182805,166.93508915044205,231.9005870015333
2023-04-09,217.84126810784292,184.4042331472323,253.20871920511235
2023-04-10,205.73414243892228,171.6421185241316,238.7310993927818
2023-04-11,183.85775249330717,149.12359214808808,217.90457592288362
2023-04-12,223.13512963443236,188.92205556131663,258.8962345793713
2023-04-13,215.56643393627584,179.46739766866125,248.88623464916083
2023-04-14,200.151615964681,165.25080211928827,236.88735491354498
2023-04-15,205.49541202297289,172.47291844843156,240.53092973239396
2023-04-16,225.09571411899415,190.8660698716962,257.2543121874902
2023-04-17,212.98858845003568,179.1632361229398,248.62320647012103
2023-04-18,191.1121985044405,156.60878090466338,225.8660413151233
2023-04-19,230.3895756456108,194.096166952085,262.4206220396758
2023-04-20,222.82087994740218,187.41957088110186,254.71015805200082
2023-04-21,207.4060619758605,172.6683210752916,239.4365058500761
2023-04-22,212.7498580342096,177.85390836017322,247.52397678621853
2023-04-23,232.35016013014155,197.63413239868524,267.08253191996187
2023-04-24,220.24303446121496,188.8897167233385,252.84632558185285
2023-04-25,198.36664451560617,163.5170180637224,233.07997549670532
2023-04-26,237.64402165668437,205.29253306484375,271.5097335222508
2023-04-27,230.07532595855287,197.80383606453273,262.7030153139785
2023-04-28,214.66050798703998,181.19308904152436,250.01515684252624
2023-04-29,220.00430404524536,186.0196072700531,255.41970777874144
2023-04-30,239.6046061412928,205.6660883828278,271.14814905814876
